epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3354,1.79023,4.29335,1.69281,0.76316,0.52252,0.62961,0.34042,1.55659,1.33361,1.60271,0.0805,0.00019697,0.00019697
2,35.2449,1.54016,1.30352,1.58222,0.87497,0.90991,0.95027,0.42062,1.80765,2.29208,1.76361,0.0607,0.000396926,0.000396926
3,46.975,1.51571,1.25157,1.54013,0.88589,0.87387,0.90093,0.34602,1.93265,1.72745,1.8842,0.0408997,0.000596708,0.000596708
4,57.5645,1.51071,1.12752,1.53603,0.9358,0.93694,0.9762,0.5398,1.48988,0.91369,1.66677,0.0210992,0.000796183,0.000796183
5,69.7125,1.48384,1.04102,1.49296,0.94665,0.95908,0.98189,0.51067,1.62073,1.03101,1.63905,0.00129825,0.000995222,0.000995222
6,79.6205,1.55107,1.05258,1.51273,0.9211,0.8414,0.94298,0.37156,1.8882,0.96528,1.7999,0.000997261,0.000997261,0.000997261
7,89.1533,1.47473,1.09302,1.51305,0.92693,0.91892,0.95083,0.49309,1.61626,0.82358,1.61227,0.000996058,0.000996058,0.000996058
8,99.3877,1.44464,1.01551,1.48575,0.91476,0.92793,0.94967,0.50467,1.63396,0.84937,1.59197,0.000994637,0.000994637,0.000994637
9,109.888,1.4636,0.9955,1.52004,0.87805,0.97297,0.96334,0.4811,1.68401,0.72614,1.61578,0.000992999,0.000992999,0.000992999
10,120.327,1.47999,1.09663,1.52522,0.95141,0.95495,0.97114,0.47978,1.68192,1.36971,1.70574,0.000991145,0.000991145,0.000991145
11,130.96,1.45035,1.02693,1.47384,0.92816,0.94595,0.96976,0.53314,1.58239,0.83508,1.59124,0.000989075,0.000989075,0.000989075
12,141.768,1.44771,1.00768,1.55293,0.93036,0.96288,0.96576,0.51637,1.57448,0.6581,1.58312,0.000986791,0.000986791,0.000986791
13,151.796,1.46471,1.02463,1.52234,0.88524,0.95495,0.96659,0.48616,1.66379,0.84211,1.62456,0.000984293,0.000984293,0.000984293
14,162.332,1.462,1.01169,1.55098,0.91073,0.93694,0.97469,0.50774,1.56123,0.80097,1.54317,0.000981583,0.000981583,0.000981583
15,172.997,1.37997,0.98843,1.51027,0.87404,0.94595,0.93098,0.51729,1.49943,0.68087,1.49637,0.000978662,0.000978662,0.000978662
16,183.695,1.38751,0.94833,1.44006,0.90373,0.95495,0.96665,0.4642,1.77335,0.97639,1.72293,0.000975531,0.000975531,0.000975531
17,194.275,1.39373,0.94219,1.44741,0.91317,0.94749,0.96774,0.49897,1.6845,0.77874,1.64877,0.000972191,0.000972191,0.000972191
18,205.201,1.38984,0.89491,1.51161,0.94021,0.95495,0.97262,0.50688,1.61116,0.66846,1.60177,0.000968644,0.000968644,0.000968644
19,215.494,1.39238,0.91489,1.47338,0.91499,0.96963,0.97096,0.49109,1.6724,0.95437,1.63651,0.000964892,0.000964892,0.000964892
20,225.928,1.42293,0.8971,1.44806,0.92299,0.97184,0.97691,0.50657,1.67088,0.87756,1.61038,0.000960935,0.000960935,0.000960935
21,237.005,1.46605,0.97951,1.5595,0.92592,0.90087,0.94606,0.48446,1.65814,0.76874,1.60463,0.000956777,0.000956777,0.000956777
22,247.795,1.45383,0.92013,1.4957,0.92683,0.99099,0.98198,0.48232,1.71626,0.72441,1.65523,0.000952418,0.000952418,0.000952418
23,258.016,1.33152,0.97802,1.35332,0.94231,0.97297,0.98651,0.49443,1.72244,0.63811,1.64449,0.000947861,0.000947861,0.000947861
24,268.452,1.36844,0.90305,1.40523,0.88862,0.97297,0.97626,0.48614,1.67905,0.81075,1.64899,0.000943107,0.000943107,0.000943107
25,280.098,1.3833,0.94955,1.47213,0.93159,0.98152,0.97936,0.5757,1.4662,0.61558,1.47894,0.00093816,0.00093816,0.00093816
26,290.877,1.44805,0.98265,1.51073,0.89348,0.96396,0.94882,0.40841,1.92672,0.69063,1.84562,0.000933019,0.000933019,0.000933019
27,301.401,1.3218,0.97492,1.388,0.943,0.96396,0.98109,0.49254,1.68327,0.64416,1.62368,0.000927689,0.000927689,0.000927689
