epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,303.507,1.58877,4.9194,1.6105,0.43649,0.50943,0.38896,0.20845,1.49363,5.12518,1.79254,0.00016,0.00016,0.00016
2,441.369,1.31658,2.46101,1.38943,0.84857,0.85823,0.87044,0.55026,1.15646,4.4624,1.41194,0.000336634,0.000336634,0.000336634
3,635.49,1.22682,1.29728,1.30916,0.04488,0.61261,0.03943,0.02298,1.34775,10.724,1.54051,0.000509704,0.000509704,0.000509704
4,769.457,1.19789,0.93909,1.26028,0.22009,0.35135,0.20015,0.10588,1.61564,2.6512,1.94263,0.00067921,0.00067921,0.00067921
5,864.131,1.31929,1.02682,1.35563,0.40022,0.33333,0.2951,0.15605,2.04544,2.54059,2.27473,0.000845152,0.000845152,0.000845152
6,1092.13,1.22329,0.81772,1.24985,0.25027,0.2973,0.13485,0.08047,1.51066,3.86928,1.86376,0.00100753,0.00100753,0.00100753
7,1195.29,1.2715,0.78621,1.34424,0.0053,0.57658,0.00503,0.00225,2.05259,inf,3.63501,0.00116634,0.00116634,0.00116634
8,1279.96,1.22037,0.75943,1.25807,0.00162,0.27027,0.001,0.00057,2.5233,nan,316.125,0.00132159,0.00132159,0.00132159
9,1374.06,1.24831,0.78015,1.28438,0.01031,0.89189,0.00986,0.00575,1.43941,inf,1.95126,0.00147328,0.00147328,0.00147328
10,1469.85,1.21914,0.77378,1.27309,0.30942,0.8018,0.4705,0.29986,1.32092,9.22296,1.754,0.0016214,0.0016214,0.0016214
11,1569.44,1.22107,0.82116,1.27369,0.15427,0.52252,0.14065,0.06943,1.71413,11.4997,2.08188,0.00176596,0.00176596,0.00176596
12,1667.77,1.21622,0.80067,1.24773,0.01346,0.92793,0.01399,0.00797,1.52579,inf,3.43093,0.0017822,0.0017822,0.0017822
13,1755.44,1.20455,0.79712,1.29404,0.75752,0.82883,0.86359,0.45728,1.5986,4.31363,2.26893,0.0017624,0.0017624,0.0017624
14,1840.79,1.20048,0.74422,1.24628,0.01059,0.02703,0.00235,0.00084,3.40644,5.84767,7.00047,0.0017426,0.0017426,0.0017426
15,1932.11,1.24763,0.79228,1.26564,0.03399,0.24324,0.01864,0.01092,1.83391,15.2889,5.67054,0.0017228,0.0017228,0.0017228
16,2005.19,1.20112,0.73706,1.26682,0.00963,0.87387,0.00953,0.0059,1.33118,inf,3.68145,0.001703,0.001703,0.001703
17,2074.4,1.17094,0.71906,1.2383,0.01288,0.79279,0.01267,0.007,1.3806,41.8138,4.84734,0.0016832,0.0016832,0.0016832
18,2145.23,1.14072,0.6849,1.20353,0.01376,0.31532,0.01125,0.00376,1.5175,53.0921,44.5233,0.0016634,0.0016634,0.0016634
19,2214.07,1.13404,0.65784,1.2217,0.01233,0.95495,0.01243,0.00813,1.20699,36.0157,2.03203,0.0016436,0.0016436,0.0016436
20,2282,1.18326,0.65592,1.25741,0.9163,0.8876,0.95701,0.60248,1.27215,0.836,1.53759,0.0016238,0.0016238,0.0016238
