epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86824,1.32115,2.72359,1.31365,0.0042,0.96396,0.34849,0.15119,1.72013,3.19145,1.6125,0.08416,0.00016,0.00016
2,12.0365,1.29183,1.25338,1.18955,0.825,0.59459,0.73878,0.51353,1.36044,3.55862,1.26268,0.0673235,0.000323466,0.000323466
3,16.7713,1.21518,0.99614,1.17689,0.89744,0.63063,0.7709,0.49709,1.44287,3.62474,1.297,0.0504802,0.0004802,0.0004802
4,21.4651,1.2383,0.9566,1.17915,0.47534,0.95495,0.91297,0.62608,1.21511,2.44191,1.15645,0.0336302,0.000630202,0.000630202
5,26.0183,1.23907,0.91469,1.16288,0.88867,0.9349,0.94819,0.61003,1.24465,1.14903,1.21458,0.0167735,0.000773472,0.000773472
6,30.4778,1.22134,0.90462,1.19466,0.91765,0.90347,0.9523,0.62325,1.19483,0.9782,1.23663,0.000901,0.000901,0.000901
7,34.6509,1.20304,0.8498,1.20764,0.7236,0.75676,0.78748,0.52191,1.15781,1.36482,1.33971,0.0008812,0.0008812,0.0008812
8,39.22,1.16651,0.84314,1.21721,0.86762,0.88573,0.95211,0.63231,1.19173,0.83562,1.39059,0.0008614,0.0008614,0.0008614
9,43.7182,1.19071,0.75512,1.21773,0.92471,0.88288,0.9604,0.64617,1.16949,0.8096,1.34081,0.0008416,0.0008416,0.0008416
10,48.0715,1.15343,0.75549,1.19624,0.95433,0.85586,0.94036,0.63013,1.15544,0.87035,1.3024,0.0008218,0.0008218,0.0008218
11,52.1875,1.17306,0.77483,1.19032,0.90561,0.86486,0.91627,0.61251,1.1512,0.87167,1.33988,0.000802,0.000802,0.000802
12,56.3393,1.15909,0.72052,1.21331,0.93901,0.92793,0.97553,0.65695,1.19064,0.67324,1.35,0.0007822,0.0007822,0.0007822
13,60.7417,1.12648,0.70107,1.1631,0.92996,0.9009,0.95406,0.63081,1.20018,0.74019,1.3586,0.0007624,0.0007624,0.0007624
14,65.2298,1.09008,0.70923,1.15539,0.91466,0.91892,0.96205,0.67663,1.10559,0.7621,1.25653,0.0007426,0.0007426,0.0007426
15,69.571,1.14397,0.69424,1.1814,0.9719,0.93464,0.97478,0.66421,1.14459,0.60123,1.3482,0.0007228,0.0007228,0.0007228
16,74.0715,1.1273,0.69053,1.15822,0.94736,0.89189,0.96811,0.67023,1.15103,0.6696,1.29367,0.000703,0.000703,0.000703
17,78.482,1.14856,0.70743,1.19375,0.93885,0.95495,0.97045,0.6589,1.1875,0.61151,1.36611,0.0006832,0.0006832,0.0006832
18,82.5976,1.11894,0.68007,1.1589,0.98034,0.89868,0.97938,0.65622,1.1357,0.6026,1.32801,0.0006634,0.0006634,0.0006634
19,87.0478,1.11983,0.64666,1.16769,0.92238,0.96396,0.97889,0.66274,1.15968,0.60674,1.31971,0.0006436,0.0006436,0.0006436
20,91.4751,1.08926,0.64732,1.14873,0.95361,0.95495,0.98242,0.67862,1.13128,0.56679,1.32197,0.0006238,0.0006238,0.0006238
21,95.769,1.06938,0.63992,1.14856,0.93911,0.97265,0.98132,0.6723,1.11844,0.53648,1.29829,0.000604,0.000604,0.000604
22,100.516,1.0275,0.60948,1.11803,0.96362,0.9544,0.9832,0.66712,1.11005,0.57067,1.29318,0.0005842,0.0005842,0.0005842
23,104.83,1.08322,0.63118,1.16093,0.961,0.93694,0.9822,0.66812,1.12503,0.59445,1.29324,0.0005644,0.0005644,0.0005644
24,109.564,1.03814,0.59752,1.13687,0.92285,0.95495,0.98092,0.66146,1.16236,0.56458,1.30195,0.0005446,0.0005446,0.0005446
25,113.789,1.05733,0.61255,1.12831,0.93744,0.94499,0.97589,0.66985,1.14589,0.58107,1.29102,0.0005248,0.0005248,0.0005248
26,118.014,1.03262,0.59764,1.11505,0.93427,0.96396,0.97761,0.66389,1.13641,0.56017,1.31125,0.000505,0.000505,0.000505
27,122.046,1.05034,0.59402,1.1313,0.9387,0.95495,0.98023,0.66648,1.1571,0.58369,1.29765,0.0004852,0.0004852,0.0004852
28,126.296,1.02708,0.58665,1.14179,0.95501,0.95618,0.98264,0.64604,1.17408,0.59978,1.35501,0.0004654,0.0004654,0.0004654
29,130.486,1.0421,0.59585,1.11415,0.94498,0.98198,0.98278,0.66907,1.13142,0.55493,1.31176,0.0004456,0.0004456,0.0004456
30,135.122,1.00967,0.58472,1.11493,0.98144,0.95295,0.98468,0.67596,1.10479,0.53006,1.32835,0.0004258,0.0004258,0.0004258
31,139.655,0.96788,0.52585,1.13779,0.97128,0.91892,0.98086,0.66954,1.12559,0.55724,1.33653,0.000406,0.000406,0.000406
32,144.364,0.98252,0.56894,1.10962,0.92865,0.96396,0.98034,0.66634,1.12278,0.5327,1.33008,0.0003862,0.0003862,0.0003862
33,148.518,0.98348,0.55054,1.11565,0.93032,0.98198,0.98389,0.6858,1.12571,0.49984,1.32711,0.0003664,0.0003664,0.0003664
34,152.545,1.00252,0.55027,1.09994,0.96066,0.94595,0.98377,0.69641,1.12416,0.52283,1.2885,0.0003466,0.0003466,0.0003466
35,156.54,0.94835,0.53754,1.08347,0.9303,0.96198,0.98116,0.67964,1.11046,0.5242,1.30978,0.0003268,0.0003268,0.0003268
36,160.636,0.96319,0.53923,1.11176,0.91568,0.99099,0.98692,0.68369,1.11171,0.48497,1.30834,0.000307,0.000307,0.000307
37,164.837,0.95618,0.53593,1.08664,0.97244,0.95364,0.98547,0.69178,1.11108,0.50238,1.28898,0.0002872,0.0002872,0.0002872
38,168.917,0.97244,0.5482,1.08408,0.96389,0.91892,0.98071,0.66854,1.12583,0.51788,1.32157,0.0002674,0.0002674,0.0002674
39,173.37,0.93709,0.51704,1.08327,0.97083,0.90991,0.98181,0.66532,1.14223,0.52647,1.35507,0.0002476,0.0002476,0.0002476
40,178.082,0.92316,0.50575,1.07146,0.96253,0.92569,0.98231,0.69138,1.11065,0.51471,1.30314,0.0002278,0.0002278,0.0002278
41,183.476,0.8683,0.46482,1.0931,0.95441,0.94301,0.98327,0.69583,1.11377,0.5044,1.29681,0.000208,0.000208,0.000208
42,187.581,0.859,0.45945,1.08201,0.96091,0.97297,0.98492,0.70061,1.10066,0.47832,1.30928,0.0001882,0.0001882,0.0001882
43,191.651,0.85681,0.44947,1.08108,0.9516,0.97297,0.98641,0.70187,1.10791,0.47281,1.33175,0.0001684,0.0001684,0.0001684
44,195.634,0.82438,0.44285,1.06652,0.95144,0.97297,0.98817,0.6897,1.10938,0.47912,1.32276,0.0001486,0.0001486,0.0001486
45,199.92,0.838,0.42537,1.06944,0.95343,0.97297,0.98846,0.68458,1.12846,0.4846,1.33303,0.0001288,0.0001288,0.0001288
46,204.796,0.8131,0.41691,1.0408,0.94776,0.95495,0.98962,0.67581,1.15034,0.48295,1.38289,0.000109,0.000109,0.000109
47,209.422,0.81183,0.40894,1.06726,0.93117,0.97502,0.98866,0.68269,1.13011,0.47496,1.35196,8.92e-05,8.92e-05,8.92e-05
48,213.529,0.80037,0.39995,1.04921,0.95491,0.95402,0.98838,0.6885,1.12861,0.48232,1.32018,6.94e-05,6.94e-05,6.94e-05
49,217.607,0.81871,0.4227,1.0661,0.95526,0.96185,0.98927,0.69025,1.14264,0.48573,1.33214,4.96e-05,4.96e-05,4.96e-05
50,221.537,0.802,0.41167,1.05813,0.95484,0.96396,0.98857,0.68227,1.13242,0.47929,1.33976,2.98e-05,2.98e-05,2.98e-05
