epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.533,1.80603,3.40824,1.79723,0.00427,0.98198,0.48428,0.14242,1.81598,3.55093,1.91271,0.0928,0.0008,0.0008
2,61.655,1.53256,1.79802,1.65993,0.00423,0.93694,0.3434,0.09599,2.14072,3.2195,2.49303,0.0846996,0.00169958,0.00169958
3,76.1227,1.5031,1.37474,1.5872,0.00581,0.5045,0.00527,0.00169,2.67745,inf,6.49818,0.0765975,0.00259746,0.00259746
4,89.3895,1.55309,1.38947,1.62679,0,0,0,0,nan,nan,nan,0.0684923,0.00349231,0.00349231
5,103.193,1.49644,1.17388,1.54607,4e-05,0.00901,2e-05,0,nan,nan,nan,0.0603828,0.00438283,0.00438283
6,116.888,1.55454,1.27047,1.58081,0,0,0,0,nan,nan,nan,0.0522677,0.0052677,0.0052677
7,131.462,1.52874,1.20561,1.62299,0.00304,0.41441,0.00228,0.00057,nan,nan,nan,0.0441456,0.00614564,0.00614564
8,140.461,1.53649,1.20271,1.59432,0.00128,0.27027,0.0008,0.00028,3.36978,inf,4.95761,0.0360154,0.00701536,0.00701536
9,150.337,1.49689,1.12306,1.54976,5e-05,0.00901,2e-05,0,3.90765,7.24523,7.94547,0.0278756,0.00787559,0.00787559
10,160.944,1.50843,1.19498,1.57369,9e-05,0.01802,4e-05,2e-05,5.38763,inf,19.0498,0.0197251,0.00872507,0.00872507
11,171.15,1.52767,1.26759,1.62679,0.00031,0.06306,0.00017,2e-05,5.22497,126.632,16.9574,0.0115626,0.00956258,0.00956258
12,181.527,1.41075,1.0906,1.50547,0,0,0,0,4.76751,inf,36.8588,0.00970736,0.00970736,0.00970736
13,191.095,1.489,1.13947,1.53173,0,0,0,0,5.37131,inf,43.178,0.00965239,0.00965239,0.00965239
14,201.77,1.41656,1.0476,1.44742,0.00085,0.02703,0.00047,0.00019,3.90017,7.3169,6.00533,0.00959289,0.00959289,0.00959289
15,214.165,1.52622,1.10335,1.52915,0.60931,0.40541,0.45381,0.13077,2.78483,5.45694,3.16577,0.00952889,0.00952889,0.00952889
16,224.453,1.5035,1.10423,1.54909,0.24493,0.18919,0.11145,0.04077,2.86379,10.4613,3.34755,0.00946048,0.00946048,0.00946048
17,234.623,1.48086,1.06277,1.4989,0.35587,0.18018,0.16593,0.08241,2.28957,7.19522,2.3653,0.00938772,0.00938772,0.00938772
18,246.715,1.39707,1.05631,1.44865,0.42308,0.17117,0.1497,0.07409,2.72941,3.63795,3.2794,0.00931067,0.00931067,0.00931067
19,260.365,1.45691,1.0697,1.51983,0.41798,0.18919,0.17083,0.08701,2.51459,6.5338,2.9815,0.00922942,0.00922942,0.00922942
20,267.333,1.41576,1.03246,1.50511,0.22005,0.07207,0.05552,0.02519,2.61145,7.19993,3.53547,0.00914405,0.00914405,0.00914405
21,279.056,1.47684,0.98354,1.53849,0.12975,0.05405,0.03609,0.01728,2.82293,5.50773,4.35216,0.00905463,0.00905463,0.00905463
22,292.742,1.43778,1.00438,1.49141,0.13526,0.08108,0.05183,0.02634,2.94296,4.77347,4.34911,0.00896127,0.00896127,0.00896127
